riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
0.0,24,2,5,12.0,1.0,1,5,2,3
0.0,23,1,5,12.0,1.0,1,5,2,7
0.0,25,1,5,12.0,1.0,1,5,6,3
,18,2,8,3.0,1.0,1,5,6,3
0.0,24,2,4,9.0,1.0,1,5,6,1
0.0,26,2,10,12.0,6.0,1,5,6,3
0.0,26,1,9,12.0,3.0,1,5,6,3
0.0,19,1,10,12.0,3.0,1,5,6,3
1.0,26,1,10,,3.0,1,5,6,3
1.0,20,2,9,,3.0,1,5,6,3
,20,2,10,,3.0,1,5,6,3
0.0,28,1,10,12.0,3.0,1,5,2,1
,24,2,5,,3.0,1,5,6,3
,22,2,5,,3.0,1,5,6,3
,21,2,4,12.0,3.0,1,5,2,3
,24,1,5,3.0,3.0,1,5,2,7
,18,2,5,,2.0,1,5,6,9
0.0,23,2,8,12.0,2.0,1,5,6,3
,17,2,5,,2.0,1,5,6,3
0.0,26,2,8,12.0,3.0,1,5,6,3
0.0,25,2,10,2.0,3.0,1,5,6,3
,16,1,4,,3.0,1,5,6,3
1.0,19,2,5,,0.0,1,5,6,3
,25,1,10,9.0,3.0,1,5,6,3
0.0,24,1,6,12.0,3.0,1,5,6,3
,16,1,4,,3.0,1,5,6,3
0.0,26,1,5,10.0,2.0,1,5,6,3
0.0,21,2,8,12.0,0.0,1,5,6,3
1.0,23,1,4,12.0,0.0,1,5,1,1
0.0,26,2,5,4.0,0.0,1,5,1,2
0.0,23,2,10,12.0,1.0,1,5,2,3
,27,2,5,,2.0,1,5,6,9
0.0,20,1,5,12.0,3.0,1,5,1,1
,15,2,4,,3.0,1,5,1,2
,17,2,5,,3.0,1,5,6,6
0.0,24,2,5,12.0,0.0,1,5,6,1
0.0,23,2,5,3.0,0.0,1,5,6,6
0.0,19,2,5,12.0,0.0,1,5,6,6
